Country,Level 1 Government,Level 2 Government
Ethiopia,Oromia,Shager City
Ethiopia,Oromia,East Bale
Ethiopia,Oromia,East Borena
Ethiopia,Somali,Siti
Ethiopia,Somali,Fafan
Ethiopia,Somali,Jarar
Ethiopia,Somali,Erer
Ethiopia,Somali,Korahe
Ethiopia,Somali,Shabelle
Ethiopia,Somali,Doolo
Ethiopia,Somali,Afder
Ethiopia,Somali,Liban
Ethiopia,Somali,Nogob
Ethiopia,Somali,Daawa
Ethiopia,Benishangul-Gumuz,Metekel
Ethiopia,Benishangul-Gumuz,Assosa
Ethiopia,Benishangul-Gumuz,Kamashi
Ethiopia,Benishangul-Gumuz,Mao-komo Special
Ethiopia,Central Ethiopia,Kebena Special
Ethiopia,Central Ethiopia,Guraghe
Ethiopia,Central Ethiopia,Hadiya
Ethiopia,Central Ethiopia,Kembata
Ethiopia,Central Ethiopia,East Guraghe
Ethiopia,Central Ethiopia,Halaba
Ethiopia,Central Ethiopia,Siltie
Ethiopia,Central Ethiopia,Yem
Ethiopia,Central Ethiopia,Mareko Special
Ethiopia,Central Ethiopia,Tembaro Special
Ethiopia,South Ethiopia,Wolayita
Ethiopia,South Ethiopia,Gamo
Ethiopia,South Ethiopia,Gofa
Ethiopia,South Ethiopia,Basketo
Ethiopia,South Ethiopia,Ari
Ethiopia,South Ethiopia,Alle Special
Ethiopia,South Ethiopia,Derashe
Ethiopia,South Ethiopia,Kore
Ethiopia,South Ethiopia,Konso
Ethiopia,South Ethiopia,Burji
Ethiopia,South Ethiopia,Gedeo
Ethiopia,South Ethiopia,South Omo
Ethiopia,South West Ethiopia,Sheka
Ethiopia,South West Ethiopia,Kefa
Ethiopia,South West Ethiopia,Bench Sheko
Ethiopia,South West Ethiopia,Dawuro
Ethiopia,South West Ethiopia,West Omo
Ethiopia,South West Ethiopia,Konta
Ethiopia,Gambela,Nuwer
Ethiopia,Gambela,Agnewak
Ethiopia,Gambela,Majang
Ethiopia,Gambela,Itang Special
Ethiopia,Harari,Harari
Ethiopia,Addis Ababa,Region 14
Ethiopia,Dire Dawa,Dire Dawa urban
Ethiopia,Dire Dawa,Dire Dawa rural
Ethiopia,Sidama,Hawassa town Admin
Ethiopia,Sidama,Northern
Ethiopia,Sidama,Central
Ethiopia,Sidama,Southern
Ethiopia,Sidama,Eastern
Ethiopia,Contested,Area 1
Ethiopia,Contested,Area 2
Ethiopia,Contested,Area 3
Zambia,Central,Chibombo
Zambia,Central,Chisamba
Zambia,Central,Chitambo
Zambia,Central,Kabwe
Zambia,Central,Kapiri Mposhi
Zambia,Central,Luano
Zambia,Central,Mkushi
Zambia,Central,Mumbwa
Zambia,Central,Ngabwe
Zambia,Central,Serenje
Zambia,Central,Shibuyunji
Zambia,Copperbelt,Chililabombwe
Zambia,Copperbelt,Chingola
Zambia,Copperbelt,Kalulushi
Zambia,Copperbelt,Kitwe
Zambia,Copperbelt,Luanshya
Zambia,Copperbelt,Lufwanyama
Zambia,Copperbelt,Masaiti
Zambia,Copperbelt,Mpongwe
Zambia,Copperbelt,Mufulira
Zambia,Copperbelt,Ndola
Zambia,Eastern,Chadiza
Zambia,Eastern,Chipata
Zambia,Eastern,Katete
Zambia,Eastern,Lundazi
Zambia,Eastern,Mambwe
Zambia,Eastern,Nyimba
Zambia,Eastern,Petauke
Zambia,Eastern,Sinda
Zambia,Eastern,Vubwi
Zambia,Eastern,Chasefu
Zambia,Eastern,Chipangali
Zambia,Eastern,Kasenengwa
Zambia,Eastern,Lumezi
Zambia,Eastern,Lusangazi
Zambia,Eastern,Chama
Zambia,Luapula,Chembe
Zambia,Luapula,Chienge
Zambia,Luapula,Chipili
Zambia,Luapula,Kawambwa
Zambia,Luapula,Lunga
Zambia,Luapula,Mansa
Zambia,Luapula,Milenge
Zambia,Luapula,Mwansabombwe
Zambia,Luapula,Mwense
Zambia,Luapula,Nchelenge
Zambia,Luapula,Samfya
Zambia,Luapula,Chifunabuli
Zambia,Lusaka,Chilanga
Zambia,Lusaka,Chirundu
Zambia,Lusaka,Chongwe
Zambia,Lusaka,Kafue
Zambia,Lusaka,Luangwa
Zambia,Lusaka,Lusaka
Zambia,Lusaka,Rufunsa
Zambia,Muchinga,Chinsali
Zambia,Muchinga,Isoka
Zambia,Muchinga,Mafinga
Zambia,Muchinga,Mpika
Zambia,Muchinga,Nakonde
Zambia,Muchinga,Shiwang'andu
Zambia,Muchinga,Kanchibiya
Zambia,Muchinga,Lavushimanda
Zambia,Northern,Chilubi
Zambia,Northern,Kaputa
Zambia,Northern,Kasama
Zambia,Northern,Luwingu
Zambia,Northern,Mbala
Zambia,Northern,Mporokoso
Zambia,Northern,Mpulungu
Zambia,Northern,Mungwi
Zambia,Northern,Nsama
Zambia,Northern,Senga Hill
Zambia,Northern,Lunte
Zambia,Northern,Lupososhi
Zambia,North-Western,Chavuma
Zambia,North-Western,Ikelenge
Zambia,North-Western,Kabompo
Zambia,North-Western,Kasempa
Zambia,North-Western,Manyinga
Zambia,North-Western,Mufumbwe
Zambia,North-Western,Mwinilunga
Zambia,North-Western,Solwezi
Zambia,North-Western,Zambezi
Zambia,North-Western,Kalumbila
Zambia,North-Western,Mushindamo
Zambia,Southern,Chikankata
Zambia,Southern,Choma
Zambia,Southern,Gwembe
Zambia,Southern,Kalomo
Zambia,Southern,Kazungula
Zambia,Southern,Livingstone
Zambia,Southern,Mazabuka
Zambia,Southern,Monze
Zambia,Southern,Namwala
Zambia,Southern,Pemba
Zambia,Southern,Siavonga
Zambia,Southern,Sinazongwe
Zambia,Southern,Zimba
Zambia,Southern,Itezhi-Tezhi
Zambia,Western,Kalabo
Zambia,Western,Kaoma
Zambia,Western,Limulunga
Zambia,Western,Luampa
Zambia,Western,Lukulu
Zambia,Western,Mitete
Zambia,Western,Mongu
Zambia,Western,Mulobezi
Zambia,Western,Mwandi
Zambia,Western,Nalolo
Zambia,Western,Nkeyema
Zambia,Western,Senanga
Zambia,Western,Sesheke
Zambia,Western,Shangombo
Zambia,Western,Sikongo
Zambia,Western,Sioma
Bolivia,Tarija,O'Connor
Bolivia,Tarija,Méndez
Bolivia,Oruro,Abaroa
Bolivia,La Paz,Abel Iturralde
Bolivia,Pando,Abuná
Bolivia,PotosÃ­,Alonso de Ibáñez
Bolivia,Santa Cruz,Andrés Ibáñez
Bolivia,Santa Cruz,Angel Sandoval
Bolivia,PotosÃ­,Antonio Quijarro
Bolivia,Cochabamba,Arani
Bolivia,La Paz,Aroma
Bolivia,Cochabamba,Arque
Bolivia,Cochabamba,Ayopaya
Bolivia,Chuquisaca,Azurduy
Bolivia,La Paz,Bautista Saavedra
Bolivia,Chuquisaca,Belisario Boeto
Bolivia,Cochabamba,Bolivar
Bolivia,La Paz,Camacho
Bolivia,Cochabamba,Campero
Bolivia,Cochabamba,Capinota
Bolivia,La Paz,Caranavi
Bolivia,Oruro,Carangas
Bolivia,Cochabamba,Carrasco
Bolivia,Cochabamba,Cercado
Bolivia,Oruro,Cercado
Bolivia,Beni,Cercado
Bolivia,Cochabamba,Chapare
Bolivia,PotosÃ­,Chárcas
Bolivia,PotosÃ­,Chayanta
Bolivia,Santa Cruz,Chiquitos
Bolivia,Santa Cruz,Cordillera
Bolivia,PotosÃ­,Cornelio Saavedra
Bolivia,PotosÃ­,Daniel Campos
Bolivia,PotosÃ­,Enrique Baldivieso
Bolivia,Cochabamba,Esteban Arze
Bolivia,Pando,Federico Román
Bolivia,Santa Cruz,Florida
Bolivia,La Paz,Franz Tamayo
Bolivia,PotosÃ­,General Bilbao
Bolivia,Beni,General José Ballivián
Bolivia,La Paz,General José Manuel Pando
Bolivia,Santa Cruz,Germán Busch
Bolivia,Cochabamba,Germán Jordán
Bolivia,La Paz,Gualberto Villarroel
Bolivia,Santa Cruz,Guarayos
Bolivia,Chuquisaca,Hernando Siles
Bolivia,Santa Cruz,Ichilo
Bolivia,La Paz,Ingavi
Bolivia,La Paz,Inquisivi
Bolivia,Beni,Iténez
Bolivia,PotosÃ­,José María Linares
Bolivia,Oruro,Ladislao Cabrera
Bolivia,La Paz,Larecaja
Bolivia,Oruro,Litoral
Bolivia,La Paz,Loayza
Bolivia,La Paz,Los Andes
Bolivia,Chuquisaca,Luis Calvo
Bolivia,Pando,Madre de Dios
Bolivia,Beni,Mamoré
Bolivia,La Paz,Manco Kapac
Bolivia,Santa Cruz,Manuel María Caballero
Bolivia,Pando,Manuripi
Bolivia,Beni,Marbán
Bolivia,Oruro,Mejillones
Bolivia,Cochabamba,Mizque
Bolivia,PotosÃ­,Modesto Omiste
Bolivia,Beni,Moxos
Bolivia,La Paz,Muñecas
Bolivia,La Paz,Murillo
Bolivia,Pando,Nicolás Suárez
Bolivia,Oruro,Nor Carangas
Bolivia,PotosÃ­,Nor Chichas
Bolivia,Chuquisaca,Nor Cinti
Bolivia,PotosÃ­,Nor Lipez
Bolivia,La Paz,Nor Yungas
Bolivia,Santa Cruz,Ñuflo De Chávez
Bolivia,Santa Cruz,Obispo Santistéban
Bolivia,La Paz,Omasuyos
Bolivia,Chuquisaca,Oropeza
Bolivia,La Paz,Pacajes
Bolivia,Oruro,Pantaleón Dalence
Bolivia,Oruro,Poopó
Bolivia,Cochabamba,Punata
Bolivia,Cochabamba,Quillacollo
Bolivia,PotosÃ­,Rafael Bustillo
Bolivia,Oruro,Sabaya
Bolivia,Oruro,Sajama
Bolivia,Oruro,San Pedro de Totora
Bolivia,Santa Cruz,Sara
Bolivia,Oruro,Saucarí
Bolivia,Oruro,Sebastián Pagador
Bolivia,La Paz,Sud Yungas
Bolivia,Oruro,Sur Carangas
Bolivia,PotosÃ­,Sur Chichas
Bolivia,Chuquisaca,Sur Cinti
Bolivia,PotosÃ­,Sur Lipez
Bolivia,Cochabamba,Tapacarí
Bolivia,Cochabamba,Tiraque
Bolivia,Oruro,Tomás Barrón
Bolivia,PotosÃ­,Tomás Frías
Bolivia,Chuquisaca,Tomina
Bolivia,Beni,Vaca Diez
Bolivia,Santa Cruz,Vallegrande
Bolivia,Santa Cruz,Velasco
Bolivia,Santa Cruz,Warnes
Bolivia,Beni,Yacuma
Bolivia,Chuquisaca,Yamparáez
Bolivia,Chuquisaca,Zudáñez
Timor-Leste,Aileu,Aileu Vila
Timor-Leste,Ainaro,Ainaro
Timor-Leste,Manufahi,Alas
Timor-Leste,Bobonaro,Atabae
Timor-Leste,Dili,Atauro
Timor-Leste,Ermera,Atsabe
Timor-Leste,Baucau,Baguia
Timor-Leste,Bobonaro,Balibo
Timor-Leste,Manatuto,Barique/Natarbora
Timor-Leste,Baucau,Baucau
Timor-Leste,Liquiçá,Bazartete
Timor-Leste,Bobonaro,Bobonaro
Timor-Leste,Bobonaro,Cailaco
Timor-Leste,Dili,Cristo Rei
Timor-Leste,Dili,Dom Aleixo
Timor-Leste,Ermera,Ermera
Timor-Leste,Manufahi,Fatuberliu
Timor-Leste,Covalima,Fatululic
Timor-Leste,Covalima,Fatumean
Timor-Leste,Covalima,Forohem
Timor-Leste,Ermera,Hatolia
Timor-Leste,Ainaro,Hatu-Builico
Timor-Leste,Ainaro,Hatu-Udo
Timor-Leste,Lautém,Iliomar
Timor-Leste,Manatuto,Laclo
Timor-Leste,Manatuto,Laclubar
Timor-Leste,Viqueque,Lacluta
Timor-Leste,Baucau,Laga
Timor-Leste,Manatuto,Laleia
Timor-Leste,Aileu,Laulara
Timor-Leste,Lautém,Lautém
Timor-Leste,Ermera,Letefoho
Timor-Leste,Liquiçá,Liquiçá
Timor-Leste,Aileu,Liquidoe
Timor-Leste,Bobonaro,Lolotoe
Timor-Leste,Lautém,Lospalos
Timor-Leste,Lautém,Luro
Timor-Leste,Bobonaro,Maliana
Timor-Leste,Manatuto,Manatuto
Timor-Leste,Liquiçá,Maubara
Timor-Leste,Ainaro,Maubisse
Timor-Leste,Covalima,Maukatar
Timor-Leste,Dili,Metinaro
Timor-Leste,Dili,Nain Feto
Timor-Leste,Oecussi,Nitibe
Timor-Leste,Oecussi,Oesilo
Timor-Leste,Viqueque,Ossu
Timor-Leste,Oecussi,Pante Macassar
Timor-Leste,Oecussi,Passabe
Timor-Leste,Baucau,Quelicai
Timor-Leste,Ermera,Railaco
Timor-Leste,Aileu,Remexio
Timor-Leste,Manufahi,Same
Timor-Leste,Manatuto,Soibada
Timor-Leste,Covalima,Suai
Timor-Leste,Covalima,Tilomar
Timor-Leste,Manufahi,Turiscai
Timor-Leste,Lautém,Tutuala
Timor-Leste,Viqueque,Uato-Lari
Timor-Leste,Viqueque,Uatucarbau
Timor-Leste,Baucau,Vemasse
Timor-Leste,Baucau,Venilale
Timor-Leste,Dili,Vera Cruz
Timor-Leste,Viqueque,Viqueque
Timor-Leste,Covalima,Zumalai
Indonesia,Aceh,Aceh Barat
Indonesia,Aceh,Aceh Barat Daya
Indonesia,Aceh,Aceh Besar
Indonesia,Aceh,Aceh Jaya
Indonesia,Aceh,Aceh Selatan
Indonesia,Aceh,Aceh Singkil
Indonesia,Aceh,Aceh Tamiang
Indonesia,Aceh,Aceh Tengah
Indonesia,Aceh,Aceh Tenggara
Indonesia,Aceh,Aceh Timur
Indonesia,Aceh,Aceh Utara
Indonesia,Sumatera Barat,Agam
Indonesia,Nusa Tenggara Timur,Alor
Indonesia,Sumatera Utara,Asahan
Indonesia,Papua,Asmat
Indonesia,Bali,Badung
Indonesia,Kalimantan Selatan,Balangan
Indonesia,Jawa Barat,Bandung
Indonesia,Jawa Barat,Bandung Barat
Indonesia,Sulawesi Tengah,Banggai
Indonesia,Sulawesi Tengah,Banggai Kepulauan
Indonesia,Sulawesi Tengah,Banggai Laut
Indonesia,Kepulauan Bangka Belitung,Bangka
Indonesia,Kepulauan Bangka Belitung,Bangka Barat
Indonesia,Kepulauan Bangka Belitung,Bangka Selatan
Indonesia,Kepulauan Bangka Belitung,Bangka Tengah
Indonesia,Jawa Timur,Bangkalan
Indonesia,Bali,Bangli
Indonesia,Kalimantan Selatan,Banjar
Indonesia,Jawa Tengah,Banjarnegara
Indonesia,Sulawesi Selatan,Bantaeng
Indonesia,Daerah Istimewa Yogyakarta,Bantul
Indonesia,Sumatera Selatan,Banyu Asin
Indonesia,Jawa Tengah,Banyumas
Indonesia,Jawa Timur,Banyuwangi
Indonesia,Kalimantan Selatan,Barito Kuala
Indonesia,Kalimantan Tengah,Barito Selatan
Indonesia,Kalimantan Tengah,Barito Timur
Indonesia,Kalimantan Tengah,Barito Utara
Indonesia,Sulawesi Selatan,Barru
Indonesia,Jawa Tengah,Batang
Indonesia,Jambi,Batang Hari
Indonesia,Sumatera Utara,Batu Bara
Indonesia,Jawa Barat,Bekasi
Indonesia,Kepulauan Bangka Belitung,Belitung
Indonesia,Kepulauan Bangka Belitung,Belitung Timur
Indonesia,Nusa Tenggara Timur,Belu
Indonesia,Aceh,Bener Meriah
Indonesia,Riau,Bengkalis
Indonesia,Kalimantan Barat,Bengkayang
Indonesia,Bengkulu,Bengkulu Selatan
Indonesia,Bengkulu,Bengkulu Tengah
Indonesia,Bengkulu,Bengkulu Utara
Indonesia,Kalimantan Timur,Berau
Indonesia,Papua,Biak Numfor
Indonesia,Nusa Tenggara Barat,Bima
Indonesia,Kepulauan Riau,Bintan
Indonesia,Aceh,Bireuen
Indonesia,Jawa Timur,Blitar
Indonesia,Jawa Tengah,Blora
Indonesia,Gorontalo,Boalemo
Indonesia,Jawa Barat,Bogor
Indonesia,Jawa Timur,Bojonegoro
Indonesia,Sulawesi Utara,Bolaang Mongondow
Indonesia,Sulawesi Utara,Bolaang Mongondow Selatan
Indonesia,Sulawesi Utara,Bolaang Mongondow Timur
Indonesia,Sulawesi Utara,Bolaang Mongondow Utara
Indonesia,Sulawesi Tenggara,Bombana
Indonesia,Jawa Timur,Bondowoso
Indonesia,Sulawesi Selatan,Bone
Indonesia,Gorontalo,Bone Bolango
Indonesia,Papua,Boven Digoel
Indonesia,Jawa Tengah,Boyolali
Indonesia,Jawa Tengah,Brebes
Indonesia,Bali,Buleleng
Indonesia,Sulawesi Selatan,Bulukumba
Indonesia,Kalimantan Utara,Bulungan
Indonesia,Jambi,Bungo
Indonesia,Sulawesi Tengah,Buol
Indonesia,Maluku,Buru
Indonesia,Maluku,Buru Selatan
Indonesia,Sulawesi Tenggara,Buton
Indonesia,Sulawesi Tenggara,Buton Selatan
Indonesia,Sulawesi Tenggara,Buton Tengah
Indonesia,Sulawesi Tenggara,Buton Utara
Indonesia,Jawa Barat,Ciamis
Indonesia,Jawa Barat,Cianjur
Indonesia,Jawa Tengah,Cilacap
Indonesia,Jawa Barat,Cirebon
Indonesia,Sumatera Utara,Dairi
Indonesia,Sumatera Barat,Danau
Indonesia,Sumatera Selatan,Danau
Indonesia,Lampung,Danau
Indonesia,Sulawesi Utara,Danau
Indonesia,Sumatera Utara,Danau Toba
Indonesia,Papua,Deiyai
Indonesia,Sumatera Utara,Deli Serdang
Indonesia,Jawa Tengah,Demak
Indonesia,Sumatera Barat,Dharmasraya
Indonesia,Papua,Dogiyai
Indonesia,Nusa Tenggara Barat,Dompu
Indonesia,Sulawesi Tengah,Donggala
Indonesia,Sumatera Selatan,Empat Lawang
Indonesia,Nusa Tenggara Timur,Ende
Indonesia,Sulawesi Selatan,Enrekang
Indonesia,Papua Barat,Fakfak
Indonesia,Nusa Tenggara Timur,Flores Timur
Indonesia,Jawa Barat,Garut
Indonesia,Aceh,Gayo Lues
Indonesia,Bali,Gianyar
Indonesia,Gorontalo,Gorontalo
Indonesia,Gorontalo,Gorontalo Utara
Indonesia,Sulawesi Selatan,Gowa
Indonesia,Jawa Timur,Gresik
Indonesia,Jawa Tengah,Grobogan
Indonesia,Daerah Istimewa Yogyakarta,Gunung Kidul
Indonesia,Kalimantan Tengah,Gunung Mas
Indonesia,Maluku Utara,Halmahera Barat
Indonesia,Maluku Utara,Halmahera Selatan
Indonesia,Maluku Utara,Halmahera Tengah
Indonesia,Maluku Utara,Halmahera Timur
Indonesia,Maluku Utara,Halmahera Utara
Indonesia,Kalimantan Selatan,Hulu Sungai Selatan
Indonesia,Kalimantan Selatan,Hulu Sungai Tengah
Indonesia,Kalimantan Selatan,Hulu Sungai Utara
Indonesia,Sumatera Utara,Humbang Hasundutan
Indonesia,Jawa Tengah,Hutan
Indonesia,Riau,Indragiri Hilir
Indonesia,Riau,Indragiri Hulu
Indonesia,Jawa Barat,Indramayu
Indonesia,Papua,Intan Jaya
Indonesia,Papua,Jayapura
Indonesia,Papua,Jayawijaya
Indonesia,Jawa Timur,Jember
Indonesia,Bali,Jembrana
Indonesia,Sulawesi Selatan,Jeneponto
Indonesia,Jawa Tengah,Jepara
Indonesia,Jawa Timur,Jombang
Indonesia,Papua Barat,Kaimana
Indonesia,Riau,Kampar
Indonesia,Kalimantan Tengah,Kapuas
Indonesia,Kalimantan Barat,Kapuas Hulu
Indonesia,Bali,Karang Asem
Indonesia,Jawa Tengah,Karanganyar
Indonesia,Jawa Barat,Karawang
Indonesia,Kepulauan Riau,Karimun
Indonesia,Sumatera Utara,Karo
Indonesia,Kalimantan Tengah,Katingan
Indonesia,Bengkulu,Kaur
Indonesia,Kalimantan Barat,Kayong Utara
Indonesia,Jawa Tengah,Kebumen
Indonesia,Jawa Timur,Kediri
Indonesia,Papua,Keerom
Indonesia,Jawa Tengah,Kendal
Indonesia,Bengkulu,Kepahiang
Indonesia,Kepulauan Riau,Kepulauan Anambas
Indonesia,Maluku,Kepulauan Aru
Indonesia,Sumatera Barat,Kepulauan Mentawai
Indonesia,Riau,Kepulauan Meranti
Indonesia,Sulawesi Utara,Kepulauan Sangihe
Indonesia,Sulawesi Selatan,Kepulauan Selayar
Indonesia,Dki Jakarta,Kepulauan Seribu
Indonesia,Maluku Utara,Kepulauan Sula
Indonesia,Sulawesi Utara,Kepulauan Talaud
Indonesia,Papua,Kepulauan Yapen
Indonesia,Jambi,Kerinci
Indonesia,Kalimantan Barat,Ketapang
Indonesia,Jawa Tengah,Klaten
Indonesia,Bali,Klungkung
Indonesia,Sulawesi Tenggara,Kolaka
Indonesia,Sulawesi Tenggara,Kolaka Timur
Indonesia,Sulawesi Tenggara,Kolaka Utara
Indonesia,Sulawesi Tenggara,Konawe
Indonesia,Sulawesi Tenggara,Konawe Kepulauan
Indonesia,Sulawesi Tenggara,Konawe Selatan
Indonesia,Sulawesi Tenggara,Konawe Utara
Indonesia,Maluku,Kota Ambon
Indonesia,Kalimantan Timur,Kota Balikpapan
Indonesia,Aceh,Kota Banda Aceh
Indonesia,Lampung,Kota Bandar Lampung
Indonesia,Jawa Barat,Kota Bandung
Indonesia,Jawa Barat,Kota Banjar
Indonesia,Kalimantan Selatan,Kota Banjar Baru
Indonesia,Kalimantan Selatan,Kota Banjarmasin
Indonesia,Kalimantan Selatan,Kota Baru
Indonesia,Kepulauan Riau,Kota Batam
Indonesia,Jawa Timur,Kota Batu
Indonesia,Sulawesi Tenggara,Kota Baubau
Indonesia,Jawa Barat,Kota Bekasi
Indonesia,Bengkulu,Kota Bengkulu
